"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","sig"
"PrevTotal","TotalDensity2",-0.00810411525448906,0.011580455709479,79,-0.699809701604018,0.484046155206559,-0.0273401220277257,""
"PrevTotal","MixingTrt",-0.0481994146422913,0.158364033205443,79,-0.304358342400658,0.760854901170556,-0.0107978982727753,""
"PrevTotal","EdChl2",-0.0110588905487577,0.00669488649914581,79,-1.65184137926291,0.0985668908110098,-0.0676048688761351,""
"TotalDensity2","EdChl2",-0.0127491670389777,0.0086461318366877,79,-1.47455154279279,0.140333150761032,-0.232070005783066,""
"TotalDensity2","MixingTrt",0.331837421777398,0.228449360502055,79,1.45256445913497,0.146344719964285,0.221357180783675,""
"EdChl2","TP2",0.0529556367328777,0.0140734800173226,79,3.76279617178526,0.000168024141443163,0.258382995098665,"***"
"EdChl2","MixingTrt",0.0807926302489272,0.419390931465967,79,0.192642768804083,0.847238747585058,0.043394396107673,""
"~~PrevTotal","~~TP2",-0.492026558537252,NA,79,-4.92704537272256,2.37993357821153e-06,-0.492026558537252,"***"
"~~TotalDensity2","~~TP2",0.150465466462773,NA,79,1.32683316881127,0.0942683519725809,0.150465466462773,""
